
2024/05/24 (21:35:12) | ===> btop++ v.1.3.2
2024/05/24 (21:35:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (10:03:47) | ===> btop++ v.1.3.2
2024/05/28 (10:03:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (22:45:12) | ===> btop++ v.1.3.2
2024/05/28 (22:45:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (20:15:07) | ===> btop++ v.1.3.2
2024/05/29 (20:15:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (21:22:32) | ===> btop++ v.1.3.2
2024/05/29 (21:22:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (21:54:37) | ===> btop++ v.1.3.2
2024/06/02 (21:54:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/03 (18:38:07) | ===> btop++ v.1.3.2
2024/06/03 (18:38:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/04 (13:41:24) | ===> btop++ v.1.3.2
2024/06/04 (13:41:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (13:39:14) | ===> btop++ v.1.3.2
2024/06/05 (13:39:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/06 (10:55:44) | ===> btop++ v.1.3.2
2024/06/06 (10:55:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (19:09:32) | ===> btop++ v.1.3.2
2024/06/07 (19:09:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (19:15:04) | ===> btop++ v.1.3.2
2024/06/07 (19:15:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (19:15:50) | ===> btop++ v.1.3.2
2024/06/07 (19:15:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (19:20:03) | ===> btop++ v.1.3.2
2024/06/07 (19:20:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
